year,name,age,gender,worth,rank,source,industry,wealth_acquistion,country,wealth_status
2018,Marcel Herrmann Telles,68,Male,14,102,beer,Food and Beverage,No Info,Brazil,No Previous Record
2018,Reinhold Wuerth,82,Male,13.6,105,fasteners,Manufacturing,No Info,Germany,No Previous Record
2018,Charles Ergen,65,Male,13.4,106,satellite TV,Media & Entertainment,No Info,United States,No Previous Record
2018,Eric Schmidt,62,Male,13.4,106,Google,Technology,No Info,United States,No Previous Record
2018,Philip Anschutz,78,Male,13,108,investments,Finance and Investments,No Info,United States,No Previous Record
2018,Jim Kennedy,70,Male,13,108,media,Media & Entertainment,No Info,United States,No Previous Record
2018,Blair Parry-Okeden,67,Female,13,108,media,Media & Entertainment,No Info,United States,No Previous Record
2018,Alain Wertheimer,69,Male,13,108,Chanel,Fashion & Retail,No Info,France,No Previous Record
2018,Gerard Wertheimer,67,Male,13,108,Chanel,Fashion & Retail,No Info,France,No Previous Record
2018,Leonard Lauder,80,Male,12.9,113,Estee Lauder,Fashion & Retail,No Info,United States,No Previous Record
2018,Heinz Hermann Thiele,76,Male,12.9,113,brakes,Construction & Engineering,No Info,Germany,No Previous Record
2018,Dilip Shanghvi,62,Male,12.8,115,pharmaceuticals,Healthcare,No Info,India,No Previous Record
2018,Hasso Plattner,74,Male,12.7,116,software,Technology,No Info,Germany,No Previous Record
2018,Stephen Schwarzman,71,Male,12.6,117,investments,Finance and Investments,No Info,United States,No Previous Record
2018,Lei Jun,48,Male,12.5,118,smartphones,Technology,No Info,China,No Previous Record
2018,Hans Rausing,91,Male,12.5,118,packaging,Manufacturing,No Info,Sweden,No Previous Record
2018,Alisher Usmanov,64,Male,12.5,118,"steel, telecom, investments",Metals & Mining,No Info,Russia,No Previous Record
2018,Donald Newhouse,88,Male,12.3,121,media,Media & Entertainment,No Info,United States,No Previous Record
2018,Peter Woo,71,Male,12.2,122,real estate,Real Estate,No Info,Hong Kong,No Previous Record
2018,Luis Carlos Sarmiento,85,Male,12.1,123,banking,Finance and Investments,No Info,Colombia,No Previous Record
2018,Robin Li,49,Male,12,124,internet search,Technology,No Info,China,No Previous Record
2018,Carlos Alberto Sicupira,70,Male,12,124,beer,Food and Beverage,No Info,Brazil,No Previous Record
2018,Seo Jung-Jin,60,Male,11.9,126,biotech,Healthcare,No Info,South Korea,No Previous Record
2018,Kumar Birla,50,Male,11.8,127,commodities,Diversified,No Info,India,No Previous Record
2018,Alexander Otto,50,Male,11.8,127,real estate,Real Estate,No Info,Germany,No Previous Record
2018,Stefano Pessina,76,Male,11.8,127,drugstores,Fashion & Retail,No Info,Italy,No Previous Record
2018,Udo & Harald Tschira,64,Male,11.7,130,software,Technology,No Info,Germany,No Previous Record
2018,Wang Wenyin,50,Male,11.7,130,"mining, copper products",Metals & Mining,No Info,China,No Previous Record
2018,Andrew Beal,65,Male,11.6,132,"banks, real estate",Finance and Investments,No Info,United States,No Previous Record
2018,Lee Man Tat,88,Male,11.6,132,"Oyster sauce, real estate",Food and Beverage,No Info,Hong Kong,No Previous Record
2018,"John Menard, Jr.",78,Male,11.5,134,home improvement stores,Fashion & Retail,No Info,United States,No Previous Record
2018,Xu Shihui,60,Male,11.3,135,"snacks, beverages",Food and Beverage,No Info,China,No Previous Record
2018,Zhou Hongyi,47,Male,11.3,135,security software,Technology,No Info,China,No Previous Record
2018,Gong Hongjia,53,Male,11.2,137,video surveillance,Finance and Investments,No Info,Hong Kong,No Previous Record
2018,Michael Otto,74,Male,11,138,"retail, real estate",Fashion & Retail,No Info,Germany,No Previous Record
2018,David Tepper,60,Male,11,138,hedge funds,Finance and Investments,No Info,United States,No Previous Record
2018,Roman Abramovich,51,Male,10.8,140,"steel, investments",Diversified,No Info,Russia,No Previous Record
2018,Liu Qiangdong,43,Male,10.8,140,e-commerce,Technology,No Info,China,No Previous Record
2018,Robert & Philip Ng,64,Male,10.8,140,real estate,Real Estate,No Info,Singapore,No Previous Record
2018,Alberto Bailleres Gonzalez,86,Male,10.7,143,mining,Metals & Mining,No Info,Mexico,No Previous Record
2018,Uday Kotak,58,Male,10.7,143,banking,Finance and Investments,No Info,India,No Previous Record
2018,Pierre Omidyar,50,Male,10.5,145,eBay,Technology,No Info,United States,No Previous Record
2018,Walter P.J. Droege,65,Male,10.3,146,consulting,Service,No Info,Germany,No Previous Record
2018,Dietmar Hopp,77,Male,10.2,147,software,Technology,No Info,Germany,No Previous Record
2018,Graeme Hart,62,Male,10.1,148,investments,Finance and Investments,No Info,New Zealand,No Previous Record
2018,Eduardo Saverin,35,Male,10.1,148,Facebook,Technology,No Info,Brazil,No Previous Record
2018,Yan Zhi,45,Male,10.1,148,real estate,Real Estate,No Info,China,No Previous Record
2018,Radhakishan Damani,63,Male,10,151,"investments, retail",Finance and Investments,No Info,India,No Previous Record
2018,German Khan,56,Male,9.8,152,"oil, banking, telecom",Energy,No Info,Russia,No Previous Record
2018,Ronald Perelman,75,Male,9.8,152,leveraged buyouts,Finance and Investments,No Info,United States,No Previous Record
2018,Gautam Adani,55,Male,9.7,154,"commodities, ports",Diversified,No Info,India,No Previous Record
2018,Micky Arison,68,Male,9.7,154,Carnival Cruises,Service,No Info,United States,No Previous Record
2018,Pan Zhengmin,48,Male,9.7,154,electronics,Technology,No Info,China,No Previous Record
2018,Joseph Tsai,54,Male,9.7,154,e-commerce,Technology,No Info,Canada,No Previous Record
2018,"Thomas Frist, Jr.",79,Male,9.6,158,health care,Healthcare,No Info,United States,No Previous Record
2018,Mikhail Prokhorov,52,Male,9.6,158,investments,Finance and Investments,No Info,Russia,No Previous Record
2018,Galen Weston,77,Male,9.5,160,retail,Fashion & Retail,No Info,Canada,No Previous Record
2018,Zong Qinghou,72,Male,9.5,160,beverages,Food and Beverage,No Info,China,No Previous Record
2018,Eyal Ofer,67,Male,9.4,162,"real estate, shipping",Diversified,No Info,Israel,No Previous Record
2018,Charles Schwab,80,Male,9.4,162,discount brokerage,Finance and Investments,No Info,United States,No Previous Record
2018,Gianluigi & Rafaela Aponte,77,Family,9.3,164,Shipping,Logistics,Inherited,Switzerland,No Previous Record
2018,"Herbert Kohler, Jr.",79,Male,9.3,164,plumbing fixtures,Manufacturing,Inherited,United States,No Previous Record
2018,Viktor Rashnikov,69,Male,9.3,164,steel,Manufacturing,Inherited,Russia,No Previous Record
2018,Harry Triguboff,85,Male,9.2,167,real estate,Real Estate,Inherited,Australia,No Previous Record
2018,August von Finck,87,Male,9.2,167,investments,Finance and Investments,No Info,Germany,No Previous Record
2018,Yao Zhenhua,48,Male,9.2,167,conglomerate,Diversified,Inherited,China,No Previous Record
2018,Jan Koum,42,Male,9.1,170,WhatsApp,Technology,Inherited,United States,No Previous Record
2018,Cyrus Poonawalla,76,Male,9.1,170,vaccines,Healthcare,Inherited,India,No Previous Record
2018,James Goodnight,75,Male,9,172,software,Technology,Inherited,United States,No Previous Record
2018,Ken Griffin,49,Male,9,172,hedge funds,Finance and Investments,Inherited,United States,No Previous Record
2018,Giorgio Armani,83,Male,8.9,174,luxury goods,Fashion & Retail,Inherited,Italy,No Previous Record
2018,Ernesto Bertarelli,52,Male,8.9,174,"biotech, investments",Healthcare,Inherited,Switzerland,No Previous Record
2018,Savitri Jindal,67,Female,8.8,176,steel,Metals & Mining,Inherited,India,No Previous Record
2018,Sunil Mittal,60,Male,8.8,176,telecom,Telecom,Inherited,India,No Previous Record
2018,James Chambers,60,Male,8.7,178,media,Media & Entertainment,Inherited,United States,No Previous Record
2018,Katharine Rayner,73,Female,8.7,178,media,Media & Entertainment,Inherited,United States,No Previous Record
2018,Margaretta Taylor,75,Female,8.7,178,media,Media & Entertainment,Inherited,United States,No Previous Record
2018,Terry Gou,67,Male,8.5,181,electronics,Technology,Inherited,Taiwan,No Previous Record
2018,Gordon Moore,89,Male,8.5,181,Intel,Technology,self_made,United States,No Previous Record
2018,James Irving,89,Male,8.3,183,diversified,Diversified,self_made,Canada,No Previous Record
2018,Stanley Kroenke,70,Male,8.3,183,"sports, real estate",Sports,Inherited,United States,No Previous Record
2018,Melker Schorling,70,Male,8.2,185,investments,Finance and Investments,Inherited,Sweden,No Previous Record
2018,Johann Graf,71,Male,8.1,186,gambling,Gambling & Casinos,Inherited,Austria,No Previous Record
2018,Guo Guangchang,51,Male,8.1,186,conglomerate,Diversified,Inherited,China,No Previous Record
2018,John Malone,77,Male,8.1,186,cable television,Media & Entertainment,Inherited,United States,No Previous Record
2018,Xavier Niel,50,Male,8.1,186,"internet, telecom",Telecom,Inherited,France,No Previous Record
2018,Silvio Berlusconi,81,Male,8,190,media,Diversified,Inherited,Italy,No Previous Record
2018,Carl Cook,55,Male,8,190,medical devices,Healthcare,Inherited,United States,No Previous Record
2018,David Geffen,75,Male,8,190,"movies, record labels",Media & Entertainment,Inherited,United States,No Previous Record
2018,Hui Wing Mau,67,Male,8,190,real estate,Real Estate,Inherited,Hong Kong,No Previous Record
2018,Walter Kwok,67,Male,8,190,real estate,Real Estate,Inherited,Hong Kong,No Previous Record
2018,George Soros,87,Male,8,190,hedge funds,Finance and Investments,Inherited,United States,No Previous Record
2018,"Edward Johnson, III.",87,Male,7.9,196,money management,Finance and Investments,self_made,United States,No Previous Record
2018,Massimiliana Landini Aleotti,75,Female,7.9,196,pharmaceuticals,Healthcare,self_made,Italy,No Previous Record
2018,David Duffield,77,Male,7.8,198,business software,Technology,self_made,United States,No Previous Record
2018,George Kaiser,75,Male,7.8,198,"oil & gas, banking",Energy,self_made,United States,No Previous Record
2018,Patrick Soon-Shiong,65,Male,7.8,198,pharmaceuticals,Healthcare,self_made,United States,No Previous Record
2018,Zhou Qunfei,48,Female,7.8,198,smartphone screens,Technology,self_made,Hong Kong,No Previous Record
2018,Nicky Oppenheimer,72,Male,7.7,202,diamonds,Metals & Mining,self_made,South Africa,No Previous Record
2018,Sun Piaoyang,59,Male,7.7,202,pharmaceuticals,Healthcare,self_made,China,No Previous Record
2018,Wu Yajun,54,Female,7.7,202,real estate,Real Estate,self_made,China,No Previous Record
2018,Alexei Kuzmichev,55,Male,7.6,205,"oil, banking, telecom",Energy,Inherited,Russia,No Previous Record
2018,Stephen Ross,77,Male,7.6,205,real estate,Real Estate,Inherited,United States,No Previous Record
2018,Vincent Bollore,65,Male,7.4,207,investments,Finance and Investments,Inherited,France,No Previous Record
2018,Pauline MacMillan Keinath,84,Female,7.4,207,Cargill,Food and Beverage,Inherited,United States,No Previous Record
2018,Jay Y. Lee,49,Male,7.4,207,Samsung,Diversified,self_made,South Korea,No Previous Record
2018,Anders Holch Povlsen,45,Male,7.4,207,fashion retail,Fashion & Retail,self_made,Denmark,No Previous Record
2018,Eli Broad,84,Male,7.3,211,investments,Finance and Investments,self_made,United States,No Previous Record
2018,Michael Kadoorie,76,Male,7.3,211,"hotels, energy",Energy,self_made,Hong Kong,No Previous Record
2018,Iskander Makhmudov,54,Male,7.3,211,"mining, metals, machinery",Metals & Mining,Inherited,Russia,No Previous Record
2018,Frederik Paulsen,67,Male,7.3,211,health care,Healthcare,Inherited,Sweden,No Previous Record
2018,Sun Hongbin,55,Male,7.3,211,real estate,Real Estate,Inherited,United States,No Previous Record
2018,Christy Walton,69,Female,7.3,211,Walmart,Fashion & Retail,Inherited,United States,No Previous Record
2018,Shahid Khan,67,Male,7.2,217,auto parts,Automotive,Inherited,United States,No Previous Record
2018,Ananda Krishnan,79,Male,7.2,217,"telecoms, media, oil-services",Telecom,self_made,Malaysia,No Previous Record
2018,Carrie Perrodo,67,Female,7.2,217,oil,Energy,self_made,France,No Previous Record
2018,Quek Leng Chan,76,Male,7.2,217,"banking, property",Diversified,self_made,Malaysia,No Previous Record
2018,Wang Wenxue,50,Male,7.2,217,real estate,Real Estate,self_made,China,No Previous Record
2018,John Doerr,66,Male,7.1,222,venture capital,Technology,self_made,United States,No Previous Record
2018,Patrick Drahi,54,Male,7.1,222,telecom,Telecom,Inherited,France,No Previous Record
2018,Eva Gonda de Rivera,64,Female,7.1,222,beverages,Food and Beverage,Inherited,Mexico,No Previous Record
2018,Willi & Isolde Liebherr,64,Family,7.1,222,Construction,Construction & Engineering,Inherited,Switzerland,No Previous Record
2018,Ricardo Salinas Pliego,62,Male,7.1,222,"retail, media",Fashion & Retail,Inherited,Mexico,No Previous Record
2018,Suh Kyung-Bae,55,Male,7.1,222,cosmetics,Fashion & Retail,No Info,South Korea,No Previous Record
2018,Pollyanna Chu,59,Female,7,228,financial services,Finance and Investments,Inherited,Hong Kong,No Previous Record
2018,John Fredriksen,73,Male,7,228,shipping,Logistics,Inherited,Cyprus,No Previous Record
2018,Goh Cheng Liang,90,Male,7,228,paints,Manufacturing,Inherited,Singapore,No Previous Record
2018,Sri Prakash Lohia,65,Male,7,228,polyester,Manufacturing,Inherited,Indonesia,No Previous Record
2018,Lu Zhiqiang,65,Male,7,228,real estate,Real Estate,No Info,China,No Previous Record
2018,Jorn Rausing,58,Male,7,228,packaging,Food and Beverage,self_made,Sweden,No Previous Record
2018,Johann Rupert,67,Male,7,228,luxury goods,Fashion & Retail,Inherited,South Africa,No Previous Record
2018,Jacques Saade,81,Male,7,228,shipping,Logistics,self_made,France,No Previous Record
2018,Wu Shaoxun,62,Male,7,228,wine,Food and Beverage,self_made,China,No Previous Record
2018,Leonid Fedun,61,Male,6.9,237,oil,Energy,self_made,Russia,No Previous Record
2018,Kim Jung-Ju,50,Male,6.9,237,online games,Technology,self_made,South Korea,No Previous Record
2018,Sandra Ortega Mera,49,Female,6.9,237,Zara,Fashion & Retail,self_made,Spain,No Previous Record
2018,Jim Pattison,89,Male,6.9,237,diversified,Diversified,self_made,Canada,No Previous Record
2018,Michael Platt,49,Male,6.9,237,hedge funds,Finance and Investments,No Info,United Kingdom,No Previous Record
2018,Chan Laiwa,77,Female,6.8,242,real estate,Real Estate,self_made,China,No Previous Record
2018,David Green,76,Male,6.8,242,retail,Fashion & Retail,self_made,United States,No Previous Record
2018,Hank & Doug Meijer,64,Male,6.8,242,supermarkets,Fashion & Retail,self_made,United States,No Previous Record
2018,Dmitry Rybolovlev,51,Male,6.8,242,fertilizer,Manufacturing,self_made,Russia,No Previous Record
2018,Tsai Eng-Meng,61,Male,6.8,242,"food, beverages",Food and Beverage,self_made,Taiwan,No Previous Record
2018,Andreas von Bechtolsheim,62,Male,6.8,242,Google,Technology,Inherited,Germany,No Previous Record
2018,Oleg Deripaska,50,Male,6.7,248,"aluminum, utilities",Metals & Mining,No Info,Russia,No Previous Record
2018,Liu Yongxing,69,Male,6.7,248,diversified,Service,Inherited,China,No Previous Record
2018,Ludwig Merckle,53,Male,6.7,248,pharmaceuticals,Finance and Investments,Inherited,Germany,No Previous Record
2018,Brian Acton,46,Male,6.6,251,WhatsApp,Technology,Inherited,United States,No Previous Record
2018,John Grayken,61,Male,6.6,251,private equity,Finance and Investments,Inherited,Ireland,No Previous Record
2018,Ann Walton Kroenke,69,Female,6.6,251,Walmart,Fashion & Retail,Inherited,United States,No Previous Record
2018,Augusto & Giorgio Perfetti,64,Male,6.6,251,candy,Food and Beverage,Inherited,Italy,No Previous Record
2018,Finn Rausing,63,Male,6.6,251,packaging,Food and Beverage,Inherited,Sweden,No Previous Record
2018,Kirsten Rausing,65,Female,6.6,251,packaging,Food and Beverage,Inherited,Sweden,No Previous Record
2018,Odd Reitan,66,Male,6.6,251,"retail, real estate",Fashion & Retail,Inherited,Norway,No Previous Record
2018,Nassef Sawiris,57,Male,6.6,251,"construction, chemicals",Construction & Engineering,self_made,Egypt,No Previous Record
2018,Wee Cho Yaw,89,Male,6.6,251,banking,Finance and Investments,self_made,Singapore,No Previous Record
2018,Aloys Wobben,66,Male,6.6,251,wind turbines,Energy,self_made,Germany,No Previous Record
2018,Leon Black,66,Male,6.5,261,private equity,Finance and Investments,self_made,United States,No Previous Record
2018,Ivan Glasenberg,61,Male,6.5,261,mining,Metals & Mining,self_made,Switzerland,No Previous Record
2018,John Paulson,62,Male,6.5,261,hedge funds,Finance and Investments,No Info,United States,No Previous Record
2018,Wei Jianjun,54,Male,6.5,261,automobiles,Automotive,Inherited,China,No Previous Record
2018,Francis Choi,70,Male,6.4,265,real estate,Real Estate,Inherited,Hong Kong,No Previous Record
2018,Erivan Haub,85,Male,6.4,265,retail,Fashion & Retail,Inherited,Germany,No Previous Record
2018,Jason Jiang,45,Male,6.4,265,advertising,Media & Entertainment,Inherited,China,No Previous Record
2018,Suleiman Kerimov,51,Male,6.4,265,investments,Finance and Investments,self_made,Russia,No Previous Record
2018,Ian & Richard Livingstone,64,Male,6.4,265,real estate,Real Estate,self_made,United Kingdom,No Previous Record
2018,Pang Kang,62,Male,6.4,265,soy sauce maker,Food and Beverage,self_made,China,No Previous Record
2018,David Shaw,66,Male,6.4,265,hedge funds,Finance and Investments,self_made,United States,No Previous Record
2018,Kushal Pal Singh,86,Male,6.4,265,real estate,Real Estate,self_made,India,No Previous Record
2018,John A. Sobrato,78,Male,6.4,265,real estate,Real Estate,No Info,United States,No Previous Record
2018,Acharya Balkrishna,45,Male,6.3,274,consumer goods,Food and Beverage,Inherited,India,No Previous Record
2018,Guenther Fielmann,78,Male,6.3,274,optometry,Healthcare,Inherited,Germany,No Previous Record
2018,Daniel Gilbert,56,Male,6.3,274,Quicken Loans,Finance and Investments,Inherited,United States,No Previous Record
2018,Antonia Johnson,74,Female,6.3,274,diversified,Diversified,Inherited,Sweden,No Previous Record
2018,Vikram Lal,76,Male,6.3,274,motorcycles,Automotive,self_made,India,No Previous Record
